id;name;geoid;geoname;value;datetime
600;Precio mercado SPOT Diario;;Portugal;53,7;2015-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Francia;37,4;2015-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;España;53,6;2015-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Portugal;39,4;2016-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Francia;36,7;2016-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;España;39,7;2016-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Portugal;52,5;2017-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Francia;45,0;2017-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;España;52,2;2017-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Portugal;57,5;2018-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Francia;50,2;2018-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;España;57,3;2018-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Portugal;47,9;2019-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Francia;39,4;2019-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;España;47,7;2019-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Portugal;34,0;2020-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Francia;32,2;2020-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;España;34,0;2020-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Alemania;31,8;2020-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Bélgica;32,5;2020-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Países Bajos;32,8;2020-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Portugal;112,0;2021-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Francia;109,2;2021-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;España;111,9;2021-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Alemania;96,8;2021-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Bélgica;104,1;2021-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Países Bajos;103,0;2021-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Portugal;167,9;2022-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Francia;275,9;2022-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;España;167,5;2022-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Alemania;234,5;2022-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Bélgica;244,0;2022-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Países Bajos;240,7;2022-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Portugal;88,3;2023-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Francia;96,9;2023-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;España;87,1;2023-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Alemania;95,2;2023-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Bélgica;97,2;2023-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Países Bajos;95,8;2023-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Portugal;63,5;2024-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Francia;58,0;2024-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;España;63,0;2024-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Alemania;78,6;2024-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Bélgica;70,3;2024-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Países Bajos;77,3;2024-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Portugal;60,9;2025-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Francia;71,5;2025-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;España;59,4;2025-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Alemania;95,6;2025-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Bélgica;92,0;2025-01-01T00:00:00.000+01:00
600;Precio mercado SPOT Diario;;Países Bajos;93,7;2025-01-01T00:00:00.000+01:00